side,signal_time,entry_time,exit_time,spot_entry,spot_stop,spot_exit,reason,points,risk_pts,r,structure,strike,expiry,iv,rolls,prem_in,prem_out,pnl_pts,pnl_rs,debit
LONG,2026-07-06 09:15:00+05:30,2026-07-06 09:30:00+05:30,2026-07-07 15:00:00+05:30,24359.1,24290.05,24397.85,ST_FLIP,38.75,69.05,0.561,bull_put_spread,24350,2026-07-09 15:30:00+05:30,0.1339,0,-69.76,-50.03,18.54,1390.0,False
LONG,2026-07-09 09:15:00+05:30,2026-07-09 09:30:00+05:30,2026-07-09 15:00:00+05:30,24038.05,23930.05,23930.05,SL,-108.0,108.0,-1.0,naked_call_buy,24050,2026-07-09 15:30:00+05:30,0.157,0,34.21,0.0,-34.55,-2591.0,True
LONG,2026-07-09 09:15:00+05:30,2026-07-09 09:30:00+05:30,2026-07-09 15:00:00+05:30,24038.05,23930.05,23930.05,SL,-108.0,108.0,-1.0,naked_put_sell,24050,2026-07-09 15:30:00+05:30,0.157,0,-45.09,-119.86,-76.42,-5732.0,False
LONG,2026-07-09 09:15:00+05:30,2026-07-09 09:30:00+05:30,2026-07-09 15:00:00+05:30,24038.05,23930.05,23930.05,SL,-108.0,108.0,-1.0,bull_call_spread,24050,2026-07-09 15:30:00+05:30,0.157,0,33.61,0.0,-33.95,-2546.0,True
LONG,2026-07-09 09:15:00+05:30,2026-07-09 09:30:00+05:30,2026-07-09 15:00:00+05:30,24038.05,23930.05,23930.05,SL,-108.0,108.0,-1.0,bull_put_spread,24050,2026-07-09 15:30:00+05:30,0.157,0,-44.06,-119.84,-77.42,-5806.0,False
LONG,2026-07-13 12:00:00+05:30,2026-07-13 12:15:00+05:30,2026-07-14 09:15:00+05:30,24195.1,24139.65,24092.75,SL,-102.35,55.45,-1.846,naked_call_buy,24200,2026-07-16 15:30:00+05:30,0.141,0,130.47,64.03,-68.39,-5129.0,True
LONG,2026-07-13 12:00:00+05:30,2026-07-13 12:15:00+05:30,2026-07-14 09:15:00+05:30,24195.1,24139.65,24092.75,SL,-102.35,55.45,-1.846,naked_put_sell,24200,2026-07-16 15:30:00+05:30,0.141,0,-121.87,-161.54,-42.51,-3188.0,False
LONG,2026-07-13 12:00:00+05:30,2026-07-13 12:15:00+05:30,2026-07-14 09:15:00+05:30,24195.1,24139.65,24092.75,SL,-102.35,55.45,-1.846,bull_call_spread,24200,2026-07-16 15:30:00+05:30,0.141,0,77.15,46.41,-31.98,-2398.0,True
LONG,2026-07-13 12:00:00+05:30,2026-07-13 12:15:00+05:30,2026-07-14 09:15:00+05:30,24195.1,24139.65,24092.75,SL,-102.35,55.45,-1.846,bull_put_spread,24200,2026-07-16 15:30:00+05:30,0.141,0,-73.93,-99.65,-27.45,-2059.0,False
SHORT,2026-07-14 09:30:00+05:30,2026-07-14 09:45:00+05:30,2026-07-15 09:15:00+05:30,24079.7,24147.35,24147.35,SL,-67.65,67.65,-1.0,naked_put_buy,24100,2026-07-16 15:30:00+05:30,0.1395,0,110.41,54.31,-57.74,-4330.0,True
SHORT,2026-07-14 09:30:00+05:30,2026-07-14 09:45:00+05:30,2026-07-15 09:15:00+05:30,24079.7,24147.35,24147.35,SL,-67.65,67.65,-1.0,naked_call_sell,24100,2026-07-16 15:30:00+05:30,0.1395,0,-99.72,-107.07,-9.42,-707.0,False
SHORT,2026-07-14 09:30:00+05:30,2026-07-14 09:45:00+05:30,2026-07-15 09:15:00+05:30,24079.7,24147.35,24147.35,SL,-67.65,67.65,-1.0,bear_call_spread,24100,2026-07-16 15:30:00+05:30,0.1395,0,-67.79,-81.41,-15.11,-1133.0,False
SHORT,2026-07-14 09:30:00+05:30,2026-07-14 09:45:00+05:30,2026-07-15 09:15:00+05:30,24079.7,24147.35,24147.35,SL,-67.65,67.65,-1.0,bear_put_spread,24100,2026-07-16 15:30:00+05:30,0.1395,0,74.35,45.47,-30.08,-2256.0,True
LONG,2026-07-17 09:15:00+05:30,2026-07-17 09:30:00+05:30,2026-07-20 09:15:00+05:30,24211.4,24100.9,24191.7,ST_FLIP,-19.7,110.5,-0.178,naked_call_buy,24200,2026-07-23 15:30:00+05:30,0.1432,0,200.6,131.9,-72.03,-5402.0,True
